,ch1,ch2,ch3,ch4
0,2.21,9.1,4.36,6.28
1,-6.86,2.34,0.57,1.91
2,-7.16,-1.17,-10.39,-4.82
3,-3.44,1.61,-10.03,-1.92
4,-1.9,2.48,-4.42,0.51
5,-6.45,-3.76,-1.78,-7.78
6,-7.49,-5.58,7.31,-9.65
7,-1.99,-2.19,12.12,-5.23
8,1.84,-1.93,3.3,-1.74
9,1.39,-7.94,-5.89,-1.07
10,2.05,-12.96,-7.71,-0.23
11,4.11,-10.74,-7.27,4.13
12,2.91,-8.73,-3.2,3.82
13,1.68,-10.86,3.99,0.91
14,-0.65,-13.07,1.32,-2.11
15,-3.62,-10.41,-4.7,-2.46
16,-5.22,-7.48,-2.98,2.09
17,-5.36,-11.07,-1.98,6.59
18,1.06,-11.86,-4.74,8.78
19,6.32,-6.92,-6.02,7.38
20,5.94,-3.67,-1.06,5.06
21,4.89,-0.55,4.33,-4.11
22,1.24,2.98,3.44,-13.73
23,-1.59,3.29,1.44,-7.13
24,0.17,2.9,-1.77,4.06
25,4.65,6.22,-1.48,8.89
26,6.25,6.34,5.63,8.44
27,-0.57,-0.55,6.0,0.44
28,-7.21,-3.47,0.03,-9.41
29,-5.59,1.4,0.19,-12.82
30,0.75,7.07,6.47,-8.72
31,6.63,7.58,9.93,1.8
32,6.95,5.16,5.22,10.06
33,3.04,5.7,-1.81,11.24
34,-1.58,7.27,-3.21,8.36
35,-5.6,5.68,0.15,-2.37
36,-7.02,0.04,2.82,-14.82
37,-5.95,-6.21,2.83,-17.05
38,-0.07,-3.99,1.45,-3.71
39,4.34,2.02,-2.99,9.71
40,-1.31,0.62,-7.99,4.86
41,-6.6,-2.59,-5.95,-4.75
42,-4.12,0.31,3.23,-5.78
43,-0.95,7.64,11.16,-1.65
44,3.92,13.29,9.41,0.08
45,9.32,15.48,4.25,0.97
46,5.88,16.5,8.39,6.17
47,3.33,16.13,17.74,7.58
48,5.79,11.71,15.48,5.0
49,-1.55,1.66,-1.78,3.84
50,-14.06,-9.83,-14.88,-1.96
51,-16.9,-12.69,-12.07,-9.96
52,-7.24,-8.39,-5.69,-9.45
53,4.82,-3.1,-3.96,-1.51
54,12.73,6.76,-0.46,6.88
55,15.78,9.65,1.02,7.19
56,6.05,-3.13,-5.04,-1.81
57,-4.59,-15.35,-11.05,-5.19
58,-5.01,-13.79,-8.62,-1.42
59,-11.91,-6.98,-3.11,-0.86
60,-12.64,-3.48,-0.86,0.39
61,5.0,0.79,2.38,-9.1
62,15.59,0.85,2.21,-30.21
63,14.11,-8.41,-3.53,-11.08
64,5.04,-16.46,-6.89,33.69
65,-5.91,-9.61,-0.32,28.21
66,-1.6,14.35,10.23,-38.35
67,20.5,37.12,6.09,-114.21
68,29.48,37.63,-9.93,-129.26
69,-4.67,27.61,-4.31,-64.93
70,-47.26,3.96,14.72,-5.91
71,-46.01,-48.46,6.09,-10.92
72,-29.41,-72.35,-5.5,3.37
73,-31.47,-32.05,12.26,68.33
74,-32.56,26.52,14.46,83.99
75,-33.49,30.86,-18.18,67.4
76,-40.35,-43.84,-47.33,129.04
77,-53.84,-67.59,-47.32,197.17
78,-36.39,-19.53,-10.52,161.64
79,15.63,24.25,4.25,70.06
80,30.14,-2.54,-43.6,12.61
81,17.09,-145.13,-92.82,12.29
82,28.2,-163.81,-79.18,-4.84
83,43.85,-44.14,-33.25,-75.07
84,42.09,33.94,-1.81,-95.33
85,41.52,109.88,21.53,-37.76
86,32.53,113.26,9.83,-20.75
87,11.43,31.04,-20.22,-53.32
88,7.81,-3.97,-22.32,-60.06
89,20.62,-0.94,-20.18,-25.4
90,16.44,36.8,-27.21,32.29
91,-9.42,94.2,-12.7,59.76
92,-26.76,76.95,37.31,17.9
93,-11.57,44.63,75.33,-48.07
94,9.81,42.72,42.58,-62.32
95,0.03,18.56,-17.32,-29.04
96,-4.24,62.53,25.59,-42.58
97,8.29,184.72,152.51,-101.3
98,-0.94,190.45,187.46,-81.74
99,-11.13,62.74,100.74,6.9
100,2.59,-54.87,17.2,55.32
101,11.76,-90.31,7.55,43.43
102,-1.72,-84.78,22.19,12.6
103,-7.85,-106.52,-1.45,3.72
104,2.02,-128.0,-31.93,10.31
105,11.28,-129.22,-40.46,11.5
106,21.79,-134.9,-41.63,17.07
107,23.31,-126.46,-36.56,28.52
108,13.52,-103.2,-34.84,25.88
109,9.63,-90.65,-41.51,-2.02
110,17.1,-68.0,-27.31,-19.68
111,18.0,-35.36,1.29,-9.38
112,12.53,-21.5,3.19,0.14
113,19.06,-16.69,-6.15,2.34
114,17.03,-8.39,0.55,11.08
115,2.21,7.6,6.84,26.4
116,6.29,28.87,4.1,35.07
117,18.85,42.18,5.12,31.81
118,11.51,46.81,5.57,13.73
119,-3.17,42.24,-6.09,-14.26
120,-5.18,32.75,-14.74,-20.11
121,-1.79,38.03,-5.23,-2.87
122,-3.52,49.46,6.83,-0.06
123,-7.94,39.49,10.96,-10.45
124,-15.09,22.96,11.84,-9.98
125,-14.36,33.36,16.01,-0.9
126,1.69,55.05,22.85,0.29
127,11.49,54.17,19.5,-1.84
128,7.48,46.08,13.25,1.94
129,-0.04,41.15,8.02,-1.6
130,-5.89,28.08,-1.24,-8.66
131,-8.68,17.38,-3.98,-5.82
132,-8.29,12.16,-3.74,-0.43
133,-7.6,-1.3,-8.89,-6.06
134,-8.18,-14.85,-9.34,-16.19
135,-2.62,-7.64,1.1,-9.18
136,5.59,2.35,7.78,4.4
137,3.99,-7.9,2.05,5.67
138,-6.17,-19.59,-3.71,-2.65
139,-12.64,-19.51,-3.68,-8.65
140,-6.08,-17.39,-2.16,4.28
141,2.16,-16.32,-1.03,14.55
142,-1.84,-16.39,-5.67,0.51
143,-6.2,-18.14,-12.12,-4.33
144,-2.6,-16.19,-8.97,6.06
145,1.54,-9.24,-1.23,6.35
146,1.0,-6.73,-1.03,1.2
147,-5.27,-13.71,-7.76,-4.2
148,-8.19,-16.82,-10.77,-10.47
149,-2.96,-9.62,-5.67,-5.68
150,3.43,-5.68,1.17,9.74
151,2.86,-6.59,2.04,10.01
152,-4.48,-2.47,-1.12,-7.13
153,-7.89,4.46,-1.77,-13.97
154,-8.25,6.22,-4.36,-18.5
155,-8.86,6.85,-7.02,-20.77
156,-7.57,9.61,-5.1,2.75
157,-6.95,9.48,-5.27,19.93
158,-4.39,11.62,-4.44,8.09
159,-2.52,15.52,-1.6,-3.45
160,-5.96,14.0,-3.42,-2.07
161,-5.94,10.52,-6.3,1.71
162,1.04,9.24,-3.22,4.72
163,-0.39,8.39,-3.71,3.01
164,-12.48,4.74,-11.26,-4.74
165,-9.99,5.26,-5.42,-2.62
166,3.13,11.12,5.7,4.41
167,4.84,13.99,4.76,0.71
168,4.57,14.03,6.15,-0.22
169,10.65,13.07,11.99,9.0
170,15.61,14.36,11.4,14.22
171,12.84,13.65,6.12,12.98
172,5.82,7.15,3.44,11.83
173,-2.92,2.21,-1.01,4.19
174,-12.31,-2.73,-12.33,-9.95
175,-8.51,-7.36,-12.0,-13.07
176,2.32,-5.95,1.15,-7.58
177,4.38,-0.51,7.25,-2.31
178,3.77,3.23,8.5,5.2
179,0.68,-0.03,6.62,0.1
180,-5.89,-7.1,-1.07,-10.51
181,-5.59,-10.31,-4.62,-2.68
182,0.88,-5.79,0.41,7.31
183,2.93,2.82,6.83,7.03
184,-3.7,1.45,2.67,1.91
185,-6.34,-6.0,-2.19,-2.04
186,-1.39,-7.23,3.98,-2.06
187,1.36,-8.25,5.93,-4.23
188,3.6,-9.56,1.14,2.51
189,1.44,-11.76,-4.75,9.96
190,-3.89,-11.95,-9.06,1.66
191,-3.11,-5.95,-6.67,-4.92
192,-2.85,-7.1,-5.27,-5.16
193,-8.24,-12.11,-10.71,-6.79
194,-13.86,-9.51,-16.11,-8.77
195,-13.2,-6.85,-15.67,-11.35
196,-9.25,-8.98,-11.7,-16.15
197,-10.06,-13.05,-10.32,-17.07
198,-12.03,-16.12,-11.0,-11.2
199,-12.3,-16.53,-9.92,-8.2
200,-6.03,-8.55,-5.87,-1.59
201,5.19,4.27,-4.02,7.56
202,3.57,6.39,-8.26,3.32
203,-2.63,4.13,-3.4,-2.57
204,3.15,6.42,9.99,2.96
205,10.75,9.72,12.8,9.52
206,15.17,14.39,12.86,10.25
207,19.71,17.33,20.67,11.97
208,17.66,19.45,20.83,15.23
209,10.04,25.27,12.72,15.42
210,7.97,26.55,14.6,13.85
211,5.87,12.82,17.16,4.14
212,-3.96,-3.05,10.88,-21.55
213,-9.41,-4.02,6.97,-45.62
214,-7.49,1.01,6.05,-40.3
215,-5.25,1.8,5.3,-10.24
216,-1.61,1.89,3.82,16.05
217,6.47,5.23,1.45,24.9
218,13.52,9.14,-0.66,22.19
219,12.28,6.79,-3.33,24.74
220,9.29,0.12,-2.48,29.26
221,8.64,-3.71,1.54,18.05
222,4.62,-3.41,3.49,3.88
223,0.08,-0.35,3.31,0.62
224,-2.23,-1.14,-2.51,-3.72
225,-6.94,-8.11,-10.37,-11.56
226,-12.19,-11.51,-10.98,-12.17
227,-13.49,-9.52,-9.34,-9.14
228,-4.74,-3.34,-3.83,-5.6
229,6.79,2.63,2.99,-6.05
230,4.46,-1.0,-1.9,-12.87
231,-2.9,-6.83,-8.47,-12.66
232,-4.42,-7.49,-5.92,-2.16
233,-7.13,-8.37,-2.98,5.86
234,-10.03,-9.67,-3.71,2.99
235,-4.02,-6.32,-1.7,-1.27
236,1.81,-1.01,0.59,-4.24
237,-2.06,1.29,-2.76,-9.36
238,-5.19,2.4,-5.31,-8.72
239,-3.92,0.49,-2.88,-0.79
240,-1.25,-5.34,2.66,4.16
241,0.53,-9.47,5.28,1.6
242,-0.24,-8.84,2.75,3.39
243,0.37,-4.82,1.16,5.7
244,1.79,-0.74,-0.46,-1.65
245,3.14,2.87,0.93,-2.48
246,6.4,7.03,8.35,8.81
247,7.85,8.69,12.94,14.04
248,4.7,5.52,10.2,4.87
249,-0.33,3.41,4.97,-3.06
250,-1.52,4.52,4.31,1.72
251,0.29,2.35,2.08,0.56
252,-1.61,-0.97,-6.78,-8.79
253,-0.06,2.68,-6.91,-0.19
254,6.07,5.03,-0.56,14.09
255,5.89,2.12,-1.77,11.54
256,4.37,4.97,-2.69,4.15
